ProductID;ProductName;Size;UnitCost
26-L;Lime Turf Turbo Slow Release (5,000 sq ft);30 lbs. Bag;$24.00 
27-L;Holly-tone (Acid-loving Plant Food) - 100% Organic;8 lbs.;$13.00 
28-L;Holly-tone (Acid-loving Plant Food) - 100% Organic;18 lbs;$20.00 
29-L;Holly-tone (Acid-loving Plant Food) - 100% Organic;36 lbs.;$30.00 
30-L;Bio-Tone Starter Plus (slow release starter fertilizer for plants);4 lbs;$11.00 
31-L;Bio-Tone Starter Plus (slow release starter fertilizer for plants);25 lbs;$45.00 
32-L;Wild Bird Food;20 lbs.;$15.00
33-L;Premium Wild Bird Food;25 lbs;$25.00
34-L;Wild Bird Suet Cakes (single Nutty Treat);11.75 oz;$1.50
35-L;Wild Bird Suet Cakes (12 pack Nutty Treat );11.75 oz;$17.00
36-L;Finch Mix Lyric;5 lbs;$12.00
37-L;Finch Mix Lyric;20 lbs. Bag;$35.00
38-L;Black Oil Sunflower;25 lbs;$18.00 
39-L;Lyric Supreme Premium Bird Seed;20 lbs. Bag;$25.00 
40-L;Biodegrade Lawn Refuse Bags;5 Pack;$3.50 
